,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Region,Year,Suicide Rate,GDP (million),Depression Rate in %
0,0,0,0,0,0,0,0,Severna i yugoiztochna Bulgaria,2011,10.96,30613.0,0.3635
1,1,1,1,1,1,1,1,Severozapaden,2011,10.56,5879.0,0.35
2,2,2,2,2,2,2,2,Severen tsentralen,2011,9.27,6396.0,0.3635
3,3,3,3,3,3,3,3,Severoiztochen,2011,10.34,8677.0,0.385
4,4,4,4,4,4,4,4,Yugoiztochen,2011,13.28,9660.0,0.455
5,5,5,5,5,5,5,5,Yugozapadna i yuzhna tsentralna Bulgaria,2011,9.78,50512.0,0.3635
6,6,6,6,6,6,6,6,Yugozapaden,2011,8.36,12374.0,0.525
7,7,7,7,7,7,7,7,Yuzhen tsentralen,2011,11.8,11374.0,0.3635
8,8,8,8,8,8,8,8,Severna i yugoiztochna Bulgaria,2012,12.76,31606.0,0.3635
9,9,9,9,9,9,9,9,Severozapaden,2012,11.51,5857.0,0.34
10,10,10,10,10,10,10,10,Severen tsentralen,2012,15.83,6639.0,0.3635
11,11,11,11,11,11,11,11,Severoiztochen,2012,10.83,8995.0,0.374
12,12,12,12,12,12,12,12,Yugoiztochen,2012,13.52,10115.0,0.442
13,13,13,13,13,13,13,13,Yugozapadna i yuzhna tsentralna Bulgaria,2012,11.18,51039.0,0.3635
14,14,14,14,14,14,14,14,Yugozapaden,2012,9.67,12866.0,0.51
15,15,15,15,15,15,15,15,Yuzhen tsentralen,2012,13.3,11766.0,0.3635
16,16,16,16,16,16,16,16,Severna i yugoiztochna Bulgaria,2013,10.47,31570.0,0.3635
17,17,17,17,17,17,17,17,Severozapaden,2013,9.08,5769.0,0.33
18,18,18,18,18,18,18,18,Severen tsentralen,2013,12.78,6685.0,0.3635
19,19,19,19,19,19,19,19,Severoiztochen,2013,8.12,8941.0,0.363
20,20,20,20,20,20,20,20,Yugoiztochen,2013,11.85,10175.0,0.429
21,21,21,21,21,21,21,21,Yugozapadna i yuzhna tsentralna Bulgaria,2013,8.84,50672.0,0.3635
22,22,22,22,22,22,22,22,Yugozapaden,2013,7.61,11622.0,0.495
23,23,23,23,23,23,23,23,Yuzhen tsentralen,2013,10.66,11721.0,0.3635
24,24,24,24,24,24,24,24,Severna i yugoiztochna Bulgaria,2014,10.87,32934.0,0.3635
25,25,25,25,25,25,25,25,Severozapaden,2014,12.52,5981.0,0.32
26,26,26,26,26,26,26,26,Severen tsentralen,2014,13.2,6949.0,0.3635
27,27,27,27,27,27,27,27,Severoiztochen,2014,5.51,9344.0,0.352
28,28,28,28,28,28,28,28,Yugoiztochen,2014,12.3,10660.0,0.416
29,29,29,29,29,29,29,29,Yugozapadna i yuzhna tsentralna Bulgaria,2014,8.84,51217.0,0.3635
30,30,30,30,30,30,30,30,Yugozapaden,2014,7.3,11455.0,0.48
31,31,31,31,31,31,31,31,Yuzhen tsentralen,2014,10.88,11721.0,0.3635
32,32,32,32,32,32,32,32,Severna i yugoiztochna Bulgaria,2015,10.9,33783.0,0.3635
33,33,33,33,33,33,33,33,Severozapaden,2015,10.37,6025.0,0.31
34,34,34,34,34,34,34,34,Severen tsentralen,2015,11.35,7106.0,0.3635
35,35,35,35,35,35,35,35,Severoiztochen,2015,9.26,9734.0,0.341
36,36,36,36,36,36,36,36,Yugoiztochen,2015,12.46,10917.0,0.403
37,37,37,37,37,37,37,37,Yugozapadna i yuzhna tsentralna Bulgaria,2015,7.53,55817.0,0.3635
38,38,38,38,38,38,38,38,Yugozapaden,2015,5.97,12656.0,0.465
39,39,39,39,39,39,39,39,Yuzhen tsentralen,2015,9.76,11721.0,0.3635
40,40,40,40,40,40,40,40,Severna i yugoiztochna Bulgaria,2016,11.06,36215.0,0.3635
41,41,41,41,41,41,41,41,Severozapaden,2016,11.47,6294.0,0.3
42,42,42,42,42,42,42,42,Severen tsentralen,2016,10.5,7422.0,0.3635
43,43,43,43,43,43,43,43,Severoiztochen,2016,8.24,10125.0,0.33
44,44,44,44,44,44,44,44,Yugoiztochen,2016,13.79,12374.0,0.39
45,45,45,45,45,45,45,45,Yugozapadna i yuzhna tsentralna Bulgaria,2016,7.25,59176.0,0.3635
46,46,46,46,46,46,46,46,Yugozapaden,2016,5.19,13338.0,0.45
47,47,47,47,47,47,47,47,Yuzhen tsentralen,2016,10.16,11721.0,0.3635
48,48,48,48,48,48,48,48,Severna i yugoiztochna Bulgaria,2017,11.02,38950.0,0.3635
49,49,49,49,49,49,49,49,Severozapaden,2017,12.15,6931.0,0.29
50,50,50,50,50,50,50,50,Severen tsentralen,2017,8.86,7928.0,0.3635
51,51,51,51,51,51,51,51,Severoiztochen,2017,11.22,10839.0,0.319
52,52,52,52,52,52,52,52,Yugoiztochen,2017,12.13,13253.0,0.377
53,53,53,53,53,53,53,53,Yugozapadna i yuzhna tsentralna Bulgaria,2017,8.41,63790.0,0.3635
54,54,54,54,54,54,54,54,Yugozapaden,2017,6.62,14386.0,0.435
55,55,55,55,55,55,55,55,Yuzhen tsentralen,2017,10.85,11721.0,0.3635
56,56,56,56,56,56,56,56,Severna i yugoiztochna Bulgaria,2018,10.14,41079.0,0.3635
57,57,57,57,57,57,57,57,Severozapaden,2018,9.73,7693.0,0.28
58,58,58,58,58,58,58,58,Severen tsentralen,2018,10.12,8433.0,0.3635
59,59,59,59,59,59,59,59,Severoiztochen,2018,10.22,11676.0,0.308
60,60,60,60,60,60,60,60,Yugoiztochen,2018,10.43,13277.0,0.364
61,61,61,61,61,61,61,61,Yugozapadna i yuzhna tsentralna Bulgaria,2018,7.28,68885.0,0.3635
62,62,62,62,62,62,62,62,Yugozapaden,2018,5.93,15573.0,0.42
63,63,63,63,63,63,63,63,Yuzhen tsentralen,2018,9.13,11721.0,0.3635
64,64,64,64,64,64,64,64,Severna i yugoiztochna Bulgaria,2019,9.78,42510.0,0.3635
65,65,65,65,65,65,65,65,Severozapaden,2019,9.2,7743.0,0.27
66,66,66,66,66,66,66,66,Severen tsentralen,2019,10.03,8960.0,0.3635
67,67,67,67,67,67,67,67,Severoiztochen,2019,8.98,12401.0,0.297
68,68,68,68,68,68,68,68,Yugoiztochen,2019,10.98,13405.0,0.351
69,69,69,69,69,69,69,69,Yugozapadna i yuzhna tsentralna Bulgaria,2019,6.0,77886.0,0.3635
70,70,70,70,70,70,70,70,Yugozapaden,2019,4.05,17037.0,0.405
71,71,71,71,71,71,71,71,Yuzhen tsentralen,2019,8.82,11721.0,0.3635
72,72,72,72,72,72,72,72,Severna i yugoiztochna Bulgaria,2020,10.23,41908.0,0.3635
73,73,73,73,73,73,73,73,Severozapaden,2020,11.1,8235.0,0.26
74,74,74,74,74,74,74,74,Severen tsentralen,2020,10.86,9011.0,0.3635
75,75,75,75,75,75,75,75,Severoiztochen,2020,9.24,12164.0,0.286
76,76,76,76,76,76,76,76,Yugoiztochen,2020,10.29,12498.0,0.338
77,77,77,77,77,77,77,77,Yugozapadna i yuzhna tsentralna Bulgaria,2020,5.75,78645.0,0.3635
78,78,78,78,78,78,78,78,Yugozapaden,2020,2.99,17642.0,0.39
79,79,79,79,79,79,79,79,Yuzhen tsentralen,2020,9.7,11721.0,0.3635
